Position,Driver,Team,Number,Laps,Time,Interval,Tyres,Km/h,race_name,Pits,Points
10,C. Sainz,Williams,55,56,1:32:11.413,6.183,,198.545,Chinese GP,1.0,1.0
11,I. Hadjar,Racing Bulls,6,56,1:32:13.301,2.488,,198.456,Chinese GP,2.0,0.0
12,L. Lawson,Red Bull Racing,30,56,1:32:16.173,2.272,,198.374,Chinese GP,2.0,0.0
13,J. Doohan,Alpine,7,56,1:32:23.427,7.254,,198.115,Chinese GP,2.0,0.0
14,G. Bortoleto,Sauber,5,55,1:31:05.782,1 Lap,,197.339,Chinese GP,2.0,0.0
15,N. Hulkenberg,Sauber,27,55,1:31:15.262,9.470,,196.998,Chinese GP,2.0,0.0
16,Y. Tsunoda,Racing Bulls,22,55,1:31:18.537,3.285,,196.879,Chinese GP,2.0,0.0
dnf,F. Alonso,Aston Martin Racing,14,4,7:25.574,51 Laps,,174.629,Chinese GP,1.0,0.0
1,M. Verstappen,Red Bull Racing,1,53,1:22:06.983,—,,224.659,Japanese GP Data,1.0,25.0
2,L. Norris,McLaren,4,53,1:22:08.406,1.423,,224.595,Japanese GP Data,1.0,18.0
3,O. Piastri,McLaren,81,53,1:22:09.112,0.706,,224.562,Japanese GP Data,1.0,15.0
4,C. Leclerc,Ferrari,16,53,1:22:23.080,13.988,,223.928,Japanese GP Data,1.0,12.0
5,G. Russell,Mercedes,63,53,1:22:24.345,1.265,,223.871,Japanese GP Data,1.0,10.0
6,A. Antonelli,Mercedes,12,53,1:22:25.654,1.309,,223.811,Japanese GP Data,1.0,8.0
7,L. Hamilton,Ferrari,44,53,1:22:36.165,10.511,,223.337,Japanese GP Data,1.0,6.0
8,I. Hadjar,Racing Bulls,6,53,1:22:44.117,7.952,,222.979,Japanese GP Data,1.0,4.0
9,A. Albon,Williams,23,53,1:22:47.360,3.233,,222.834,Japanese GP Data,1.0,2.0
10,O. Bearman,Haas F1 Team,87,53,1:23:01.512,14.162,,222.2,Japanese GP Data,1.0,1.0
11,F. Alonso,Aston Martin Racing,14,53,1:23:04.316,2.804,,222.075,Japanese GP Data,1.0,1.0
12,Y. Tsunoda,Red Bull Racing,22,53,1:23:05.384,1.068,,222.028,Japanese GP Data,1.0,1.0
13,P. Gasly,Alpine,10,53,1:23:09.105,3.721,,221.862,Japanese GP Data,1.0,1.0
14,C. Sainz,Williams,55,53,1:23:21.112,12.007,,221.329,Japanese GP Data,1.0,1.0
15,J. Doohan,Alpine,7,53,1:23:28.297,7.185,,221.012,Japanese GP Data,1.0,1.0
16,N. Hulkenberg,Sauber,27,53,1:23:28.940,0.643,,220.984,Japanese GP Data,1.0,1.0
17,L. Lawson,Red Bull Racing,30,53,1:23:29.717,0.777,,220.949,Japanese GP Data,1.0,1.0
18,E. Ocon,Haas F1 Team,31,53,1:23:30.421,0.704,,220.918,Japanese GP Data,1.0,1.0
19,G. Bortoleto,Sauber,5,53,1:23:33.080,0.459,,220.898,Japanese GP Data,1.0,1.0
20,L. Stroll,Aston Martin Racing,18,52,1:22:19.912,1 Lap,,219.84,Japanese GP Data,2.0,0.0
